postcode,price_lower,price_upper,price,address_street_full,lat,lon,property_type,block_size,suburb,status,page_views,garages,carports,bathrooms,ensuites,days_on_market,page_views.1,median_age,population,fully_own,purchasing,rent_from_government,rent_private,house,townhouse,unit,street_name,street_type,crime_rate,median_income,area_type,STOP_ID,STOP_NAME,km,Supermarkets,Mall,Gym,Parks,state_x,Venues Cluster,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,Ancestry Cluster,Catholic,Government,Independent,Primary_School,Pricepersqm,PriceperLot,Subdivisions
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Shopping Mall,Grocery Store,Sandwich Place,Portuguese Restaurant,Pizza Place,Vietnamese Restaurant,Bakery,5.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Airport Lounge,Supermarket,Shopping Mall,Sandwich Place,Grocery Store,Hotel,Coffee Shop,Portuguese Restaurant,7.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Portuguese Restaurant,Shopping Mall,Sandwich Place,Grocery Store,Pizza Place,Convenience Store,Coffee Shop,7.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,8,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Shopping Mall,Grocery Store,Sandwich Place,Portuguese Restaurant,Pizza Place,Vietnamese Restaurant,Bakery,5.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,8,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Airport Lounge,Supermarket,Shopping Mall,Sandwich Place,Grocery Store,Hotel,Coffee Shop,Portuguese Restaurant,7.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,8,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Portuguese Restaurant,Shopping Mall,Sandwich Place,Grocery Store,Pizza Place,Convenience Store,Coffee Shop,7.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Shopping Mall,Grocery Store,Sandwich Place,Portuguese Restaurant,Pizza Place,Vietnamese Restaurant,Bakery,5.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Airport Lounge,Supermarket,Shopping Mall,Sandwich Place,Grocery Store,Hotel,Coffee Shop,Portuguese Restaurant,7.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Portuguese Restaurant,Shopping Mall,Sandwich Place,Grocery Store,Pizza Place,Convenience Store,Coffee Shop,7.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
3037,500000.0,530000.0,"$500,000 - $530,000",14 Tudor Rose Crescent,-37.709025,144.776513,LAND,578.0,Keilor Area,UNDER_OFFER,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36 years,10838,25.2,41.6,0.0,32.5,65.0,0.0,2.3,Tudor Rose Crescent,Street,2403,25064,Major Urban locality,20000,Watergardens Railway Station (Sydenham),0.9002080195758522,9,4,2,1,VIC,1.0,Fast Food Restaurant,Café,Supermarket,Shopping Mall,Grocery Store,Sandwich Place,Portuguese Restaurant,Pizza Place,Vietnamese Restaurant,Bakery,5.0,1.0,1.0,,6,0.001156,0.004738780141843972,4.0
